,cpu_load
1,0.3809444444444444
2,0.43416666666666665
3,0.4020555555555555
4,0.48541666666666666
5,0.3758611111111111
6,0.3885277777777778
7,0.45325
8,0.37636111111111115
9,0.4002222222222222
10,0.3532222222222222
11,0.48247222222222225
12,0.36533333333333334
13,0.3492777777777778
14,0.4146944444444445
15,0.3687222222222223
16,0.3790833333333333
17,0.32894444444444443
18,0.4973333333333333
19,0.38102777777777774
20,0.39469444444444446
21,0.4043333333333333
22,0.5674166666666667
23,0.4056388888888888
24,0.3654722222222222
25,0.4731666666666666
26,0.45025
27,0.4585833333333333
28,0.41961111111111105
29,0.5961944444444445
30,0.43133333333333335
31,0.42763888888888885
32,0.40730555555555553
33,0.48575
34,0.5188611111111111
35,0.3748055555555555
36,0.48530555555555555
37,0.45599999999999996
38,0.4320833333333334
39,0.4641111111111111
40,0.4719722222222222
41,0.46880555555555553
42,0.4378888888888889
43,0.4605
44,0.40352777777777776
45,0.5568333333333333
46,0.5685
47,0.5598333333333334
48,0.5447222222222222
49,0.5444722222222222
50,0.4505555555555556
51,0.49963888888888885
52,0.48836111111111113
53,0.5889444444444445
54,0.5159722222222222
55,0.5756666666666667
56,0.5569999999999999
57,0.4690833333333333
58,0.53525
59,0.5614444444444444
60,0.6882777777777778
61,0.66175
62,0.6996666666666667
63,0.6935
64,0.3853888888888889
65,0.6651111111111111
66,0.6871388888888889
67,0.6976944444444444
68,0.68675
69,0.6273333333333333
70,0.6547777777777778
71,0.4150833333333333
72,0.6315555555555555
73,0.5699166666666666
74,0.6711944444444444
75,0.5463888888888889
76,0.5758888888888889
77,0.52625
78,0.4265555555555556
79,0.6215555555555555
80,0.6079166666666667
81,0.6341388888888888
82,0.49833333333333335
83,0.5745555555555556
84,0.5258611111111111
85,0.36244444444444446
86,0.6999444444444444
87,0.5422499999999999
88,0.6210833333333333
89,0.4376388888888889
90,0.5573611111111111
91,0.5102777777777778
92,0.42127777777777775
93,0.6465000000000001
94,0.597388888888889
95,0.5427222222222222
96,0.5054444444444444
97,0.4892222222222222
98,0.5780833333333333
99,0.4283611111111111
100,0.575111111111111
101,0.6026944444444444
102,0.5568055555555557
103,0.5150555555555556
104,0.5839166666666666
105,0.5572777777777778
106,0.45475
107,0.5583333333333333
108,0.5995833333333334
109,0.5273611111111111
110,0.4440833333333333
111,0.63375
112,0.5296944444444445
113,0.4767222222222222
114,0.5341666666666667
115,0.629
116,0.5453333333333334
117,0.42541666666666667
118,0.5308611111111111
119,0.5045833333333334
120,0.6223888888888889
121,0.5346388888888889
122,0.6
123,0.5041944444444444
124,0.4098055555555555
125,0.48333333333333334
126,0.46838888888888885
127,0.5726388888888889
128,0.4841111111111111
129,0.6179722222222223
130,0.4383611111111111
131,0.4540555555555555
132,0.48183333333333334
133,0.4468055555555555
134,0.5461111111111111
135,0.4661111111111111
136,0.5324444444444445
137,0.3663611111111111
138,0.4026666666666666
139,0.5117777777777778
140,0.4928611111111111
141,0.5569444444444445
142,0.4273055555555555
143,0.4392777777777777
144,0.4008333333333333
145,0.3850277777777778
146,0.44652777777777775
147,0.5504444444444445
148,0.5321388888888889
149,0.40913888888888883
150,0.4062777777777777
151,0.37922222222222224
152,0.3358611111111111
153,0.41822222222222216
154,0.5095555555555555
155,0.4393055555555555
156,0.4335833333333333
157,0.41538888888888886
158,0.3697222222222222
159,0.3611388888888889
160,0.42055555555555557
161,0.5010277777777778
162,0.4576944444444444
163,0.4321388888888889
164,0.4160833333333333
165,0.40049999999999997
166,0.3731388888888889
167,0.47975
168,0.48797222222222225
169,0.3809444444444444
170,0.43416666666666665
171,0.4020555555555555
172,0.48541666666666666
173,0.3758611111111111
174,0.3885277777777778
175,0.45325
176,0.37636111111111115
177,0.4002222222222222
178,0.3532222222222222
179,0.48247222222222225
180,0.36533333333333334
181,0.3492777777777778
182,0.4146944444444445
183,0.3687222222222223
184,0.3790833333333333
185,0.32894444444444443
186,0.4973333333333333
187,0.38102777777777774
188,0.39469444444444446
189,0.4043333333333333
190,0.5674166666666667
191,0.4056388888888888
192,0.3654722222222222
193,0.4731666666666666
194,0.45025
195,0.4585833333333333
196,0.41961111111111105
197,0.5961944444444445
198,0.43133333333333335
199,0.42763888888888885
200,0.40730555555555553
201,0.48575
202,0.5188611111111111
203,0.3748055555555555
204,0.48530555555555555
205,0.45599999999999996
206,0.4320833333333334
207,0.4641111111111111
208,0.4719722222222222
209,0.46880555555555553
210,0.4378888888888889
211,0.4605
212,0.40352777777777776
213,0.5568333333333333
214,0.5685
215,0.5598333333333334
216,0.5447222222222222
217,0.5444722222222222
218,0.4505555555555556
219,0.49963888888888885
220,0.48836111111111113
221,0.5889444444444445
222,0.5159722222222222
223,0.5756666666666667
224,0.5569999999999999
225,0.4690833333333333
226,0.53525
227,0.5614444444444444
228,0.6882777777777778
229,0.66175
230,0.6996666666666667
231,0.6935
232,0.3853888888888889
233,0.6651111111111111
234,0.6871388888888889
235,0.6976944444444444
236,0.68675
237,0.6273333333333333
238,0.6547777777777778
239,0.4150833333333333
240,0.6315555555555555
241,0.5699166666666666
242,0.6711944444444444
243,0.5463888888888889
244,0.5758888888888889
245,0.52625
246,0.4265555555555556
247,0.6215555555555555
248,0.6079166666666667
249,0.6341388888888888
250,0.49833333333333335
251,0.5745555555555556
252,0.5258611111111111
253,0.36244444444444446
254,0.6999444444444444
255,0.5422499999999999
256,0.6210833333333333
257,0.4376388888888889
258,0.5573611111111111
259,0.5102777777777778
260,0.42127777777777775
261,0.6465000000000001
262,0.597388888888889
263,0.5427222222222222
264,0.5054444444444444
265,0.4892222222222222
266,0.5780833333333333
267,0.4283611111111111
268,0.575111111111111
269,0.6026944444444444
270,0.5568055555555557
271,0.5150555555555556
272,0.5839166666666666
273,0.5572777777777778
274,0.45475
275,0.5583333333333333
276,0.5995833333333334
277,0.5273611111111111
278,0.4440833333333333
279,0.63375
280,0.5296944444444445
281,0.4767222222222222
282,0.5341666666666667
283,0.629
284,0.5453333333333334
285,0.42541666666666667
286,0.5308611111111111
287,0.5045833333333334
288,0.6223888888888889
289,0.5346388888888889
290,0.6
291,0.5041944444444444
292,0.4098055555555555
293,0.48333333333333334
294,0.46838888888888885
295,0.5726388888888889
296,0.4841111111111111
297,0.6179722222222223
298,0.4383611111111111
299,0.4540555555555555
300,0.48183333333333334
301,0.4468055555555555
302,0.5461111111111111
303,0.4661111111111111
304,0.5324444444444445
305,0.3663611111111111
306,0.4026666666666666
307,0.5117777777777778
308,0.4928611111111111
309,0.5569444444444445
310,0.4273055555555555
311,0.4392777777777777
312,0.4008333333333333
313,0.3850277777777778
314,0.44652777777777775
315,0.5504444444444445
316,0.5321388888888889
317,0.40913888888888883
318,0.4062777777777777
319,0.37922222222222224
320,0.3358611111111111
321,0.41822222222222216
322,0.5095555555555555
323,0.4393055555555555
324,0.4335833333333333
325,0.41538888888888886
326,0.3697222222222222
327,0.3611388888888889
328,0.42055555555555557
329,0.5010277777777778
330,0.4576944444444444
331,0.4321388888888889
332,0.4160833333333333
333,0.40049999999999997
334,0.3731388888888889
335,0.47975
336,0.48797222222222225
337,0.3809444444444444
338,0.43416666666666665
339,0.4020555555555555
340,0.48541666666666666
341,0.3758611111111111
342,0.3885277777777778
343,0.45325
344,0.37636111111111115
345,0.4002222222222222
346,0.3532222222222222
347,0.48247222222222225
348,0.36533333333333334
349,0.3492777777777778
350,0.4146944444444445
351,0.3687222222222223
352,0.3790833333333333
353,0.32894444444444443
354,0.4973333333333333
355,0.38102777777777774
356,0.39469444444444446
357,0.4043333333333333
358,0.5674166666666667
359,0.4056388888888888
360,0.3654722222222222
361,0.4731666666666666
362,0.45025
363,0.4585833333333333
364,0.41961111111111105
365,0.5961944444444445
366,0.43133333333333335
367,0.42763888888888885
368,0.40730555555555553
369,0.48575
370,0.5188611111111111
371,0.3748055555555555
372,0.48530555555555555
373,0.45599999999999996
374,0.4320833333333334
375,0.4641111111111111
376,0.4719722222222222
377,0.46880555555555553
378,0.4378888888888889
379,0.4605
380,0.40352777777777776
381,0.5568333333333333
382,0.5685
383,0.5598333333333334
384,0.5447222222222222
385,0.5444722222222222
386,0.4505555555555556
387,0.49963888888888885
388,0.48836111111111113
