,cpu_load
1,0.20883333325
2,0.38966666675
3,0.24761111125
4,0.23019444449999998
5,0.220972222
6,0.1734444445
7,0.24805555575
8,0.2115555555
9,0.27900000025
10,0.2399722225
11,0.23825
12,0.22816666675
13,0.1875
14,0.2396944445
15,0.26672222225
16,0.27038888875
17,0.26772222225
18,0.2221944445
19,0.22338888875000001
20,0.20736111125
21,0.26466666650000004
22,0.26972222225
23,0.3223333335
24,0.23999999975
25,0.25858333325
26,0.23797222225
27,0.213472222
28,0.2327777775
29,0.48238888875
30,0.18266666650000002
31,0.20738888875
32,0.22438888875000002
33,0.221861111
34,0.201138889
35,0.1619444445
36,0.39686111125
37,0.1914444445
38,0.188111111
39,0.186361111
40,0.26052777775
41,0.1707222225
42,0.15058333325
43,0.302861111
44,0.215138889
45,0.28841666675
46,0.25830555575
47,0.27977777775
48,0.2969444445
49,0.25513888900000004
50,0.26861111125000003
51,0.25247222225
52,0.23013888924999998
53,0.25047222225
54,0.28922222225
55,0.31666666649999997
56,0.2729444445
57,0.28183333325000004
58,0.2740555555
59,0.29269444425
60,0.2475833335
61,0.32647222225
62,0.3459444445
63,0.22925
64,0.228111111
65,0.2641666665
66,0.313611111
67,0.36708333325
68,0.378277778
69,0.3826111115
70,0.3481666665
71,0.23713888900000002
72,0.2986944445
73,0.35341666675
74,0.42213888875
75,0.40594444425
76,0.39272222225
77,0.41144444425
78,0.22377777775
79,0.31558333325
80,0.343472222
81,0.53247222225
82,0.36586111125
83,0.48527777775000003
84,0.5075
85,0.23869444475
86,0.5483333335
87,0.49063888874999995
88,0.568138889
89,0.5836944445000001
90,0.586416667
91,0.5332222225000001
92,0.2240555555
93,0.49388888875
94,0.4933055555
95,0.49655555575
96,0.45147222225
97,0.4985833335
98,0.52561111125
99,0.22427777775000002
100,0.45569444425
101,0.45036111125
102,0.47811111100000003
103,0.40866666675
104,0.41002777775
105,0.40266666675
106,0.18124999975
107,0.4345555555
108,0.430888889
109,0.40769444450000003
110,0.41708333325
111,0.53461111125
112,0.39375
113,0.17825
114,0.4559722225
115,0.359888889
116,0.33527777775
117,0.3803055555
118,0.38875000025
119,0.384472222
